"","word","mystemuniquewords"
"12997","in2nation",""
"12998","восьмикратный","восьмикратный"
"12999","битбоксу","битбокс"
"13000","вахтанг","вахтанг"
"13001","отличие","отличие"
"13002","предыдущего","предыдущий"
"13003","ом","ом"
"13004","депутатами","депутат"
"13005","8000",""
"13006","политике.контакты","политика контакт"
"13007","пашков","пашков"
"13008","916",""
"13009","116",""
"13010","terra.scientia","terra? scientia?"
"13011","yandex.ru.фото","yandex? ru? фото"
"13012","информировал","информировать"
"13013","подготовкой","подготовка"
"13014","изложил","излагать"
"13015","корректировок","корректировка"
"13016","подытоживая","подытоживать"
"13017","завил","завивать"
"13018","сплотит","сплачивать"
"13019","позицией","позиция"
"13020","выступавший","выступать"
"13021","связать","связывать"
"13022","формированием","формирование"
"13023","компетенций","компетенция"
"13024","представляемых","представлять"
"13025","согласование","согласование"
"13026","предварительному","предварительный"
"13027","поощрения","поощрение"
"13028","направленную","направлять"
"13029","выдвинуты","выдвигать"
"13030","вносящие","вносить"
"13031","независимую","независимый"
"13032","экспертизу","экспертиза"
"13033","соответствующего","соответствующий"
"13034","присуждении","присуждение"
"13035","приурочить","приурочивать"
"13036","выскажутся","высказываться"
"13037","возрождению","возрождение"
"13038","создавшие","создавать"
"13039","предпосылки","предпосылка"
"13040","включающий","включать"
"13041","затрагивающий","затрагивать"
"13042","физического","физический"
"13043","действующего","действующий"
"13044","аналогичного","аналогичный"
"13045","спасо","спасо"
"13046","преображенском","преображенский"
"13047","валаамском","валаамский"
"13048","ставропигиальном","ставропигиальный"
"13049","мужском","мужской"
"13050","монастыре","монастырь"
"13051","ладожский","ладожский"
"13052","варсофоний","варсофоний"
"13053","игумен","игумен"
"13054","валаамского","валаамский"
"13055","троицкий","троицкий"
"13056","панкратий","панкратий"
"13057","секретариата","секретариат"
"13058","солнечногорский","солнечногорский"
"13059","а.п.худилайнен","а п худилайнен"
"13060","и.б.дивинский","и б дивинский"
"13061","всехвального","всехвальный"
"13062","апостола","апостол"
"13063","первозванного","первозванний"
"13064","в.и.якунин","в и якунин"
"13065","о.в.тельнов","о в тельн"
"13066","о.м.бударгин","о м бударгин"
"13067","благотворители","благотворитель"
"13068","архитектуры","архитектура"
"13069","зимней","зимний"
"13070","гостиницы","гостиница"
"13071","разместить","размещать"
"13072","валаам","валаам"
"13073","пасхи","пасха"
"13074","пострадало","пострадать"
"13075","камнем","камень"
"13076","преткновения","преткновение"
"13077","жильцов","жилец"
"13078","благоустроенными","благоустроенный"
"13079","жилыми","жилой"
"13080","помещениями","помещение"
"13081","сортавала","сортавала"
"13082","переселения","переселение"
"13083","закончена","заканчивать"
"13084","электрификации","электрификация"
"13085","архипелага","архипелаг"
"13086","электротранспорта","электротранспорт"
"13087","противоаварийных","противоаварийный"
"13088","и.в.баринов","и в баринов"
"13089","своевременного","своевременный"
"13090","документации","документация"
"13091","неукоснительного","неукоснительный"
"13092","соблюдения","соблюдение"
"13093","использовании","использование"
"13094","реставрацию","реставрация"
"13095","троицке","троицк"
"13096","просветителя","просветитель"
"13097","зайнуллы","зайнулла"
"13098","расулева","расулев"
"13099","жившего","жить"
"13100","похороненного","похоронить"
"13101","исламоведы","исламовед"
"13102","исламоведов","исламовед"
"13103","андреем","андрей"
"13104","объединению","объединение"
"13105","фундамента","фундамент"
"13106","течений","течение"
"13107","конференцию","конференция"
"13108","подытожили","подытоживать"
"13109","исповедующими","исповедовать"
"13110","окончанием","окончание"
"13111","священного","священный"
"13112","поздравительные","поздравительный"
"13113","телеграммы","телеграмма"
"13114","председателю","председатель"
"13115","равилю","равиля"
"13116","гайнутдину","гайнутдин"
"13117","талгату","талгат"
"13118","таджуддину","таджуддин"
"13119","исмаилу","исмаил"
"13120","бердиеву","бердиев"
"13121","курганской","курганский"
"13122","федераций","федерация"
"13123","символизирует","символизировать"
"13124","окончание","окончание"
"13125","длившегося","длиться"
"13126","поста","пост"
"13127","очищение","очищение"
"13128","напоминает","напоминать"
"13129","милосердными","милосердный"
"13130","добрые","добрый"
"13131","важны","важный"
"13132","многоконфессионального","многоконфессиональный"
"13133","богослужение","богослужение"
"13134","праздничными","праздничный"
"13135","проповедями","проповедь"
"13136","республиканским","республиканский"
"13137","печати","печать"
"13138","коммуникациям","коммуникация"
"13139","татмедиа","татмедиа"
"13140","альпаутов","альпаутов"
"13141","приветственной","приветственный"
"13142","речью","речь"
"13143","прессы","пресса"
"13144","знаковым","знаковый"
"13145","вспомнил","вспомнить"
"13146","революция","революция"
"13147","1917",""
"13148","отечественная","отечественный"
"13149","перестройка","перестройка"
"13150","перестроечные","перестроечный"
"13151","ломка","ломка"
"13152","строя","строй"
"13153","перестраивать","перестраивать"
"13154","репрессий","репрессия"
"13155","никому","никто"
"13156","легко","легко"
"13157","разрушенной","разрушать"
"13158","рожденному","родить"
"13159","1985",""
"13160","забываем","забывать"
"13161","росли","расти"
"13162","духом","дух"
"13163","сякие","сякой"
"13164","преобразований","преобразование"
"13165","знает","знать"
"13166","юстиции","юстиция"
"13167","dokumenty","dokumenty?"
"13168","proecty","proecty?"
"13169","normativyh","normativyh?"
"13170","pravovyh","pravovyh?"
"13171","aktov","aktov?"
"13172","transfer","transfer?"
"13173","межвузовской","межвузовский"
"13174","религиоведения","религиоведение"
"13175","этнокультурологии","этнокультурология"
"13176","евразийской","евразийский"
"13177","св","св?"
"13178","иоанна","иоанна"
"13179","богослова","богослов"
"13180","управляющего","управляющий"
"13181","религиоведческих","религиоведческий"
"13182","вильям","вильям"
"13183","шмидт","шмидт"
"13184","декана","декан"
"13185","полунов","полунов"
"13186","модерировал","модерировать"
"13187","дискуссию","дискуссия"
"13188","моноэтнических","моноэтнический"
"13189","коллегой","коллега"
"13190","шансы","шанс"
"13191","задавали","задавать"
"13192","конкретными","конкретный"
"13193","петр","петр"
"13194","олесов","олесов"
"13195","учится","учиться"
"13196","орловской","орловский"
"13197","озадачен","озадачивать"
"13198","грамотности","грамотность"
"13199","невысок","невысокий"
"13200","предлагает","предлагать"
"13201","факультативы","факультатив"
"13202","этнокультурным","этнокультурный"
"13203","просвещением","просвещение"
"13204","недостаток","недостаток"
"13205","этнографический","этнографический"
"13206","диктант","диктант"
"13207","отстаем","отставать"
"13208","петру","петр"
"13209","посоветовал","посоветовать"
"13210","областных","областной"
"13211","спикерами","спикер"
"13212","вайц","вайца"
"13213","экскурса","экскурс"
"13214","направленного","направлять"
"13215","стабильно","стабильно"
"13216","доминирует","доминировать"
"13217","втором","второй"
"13218","относит","относить"
"13219","гордится","гордиться"
"13220","идентификация","идентификация"
"13221","уникальная","уникальный"
"13222","призму","призма"
"13223","жертвенности","жертвенность"
"13224","служения","служение"
"13225","западническую","западнический"
"13226","пожертвовать","пожертвовать"
"13227","профильные","профильный"
"13228","зеркале","зеркало"
"13229","неискаженного","неискаженный"
"13230","отображения","отображение"
"13231","реальности","реальность"
"13232","плох","плохой"
"13233","хочет","хотеть"
"13234","этическом","этический"
"13235","кодексе","кодекс"
"13236","доскональной","доскональный"
"13237","проработке","проработка"
"13238","заявила","заявлять"
"13239","обсуждалось","обсуждаться"
"13240","султана","султан"
"13241","хамзаева","хамзаев"
"13242","посвятил","посвящать"
"13243","существующими","существовать"
"13244","стереотипами","стереотип"
"13245","разъяснять","разъяснять"
"13246","особенное","особенный"
"13247","развенчиваю","развенчивать"
"13248","мифов","миф"
"13249","симптомах","симптом"
"13250","этноцентризма","этноцентризм"
"13251","оценке","оценка"
"13252","методах","метод"
"13253","возникающими","возникать"
"13254","дизайне","дизайн"
"13255","куратором","куратор"
"13256","карповым","карпов"
"13257","творческая","творческий"
"13258","символическом","символический"
"13259","привыкли","привыкать"
"13260","вещей","вещь"
"13261","гость","гость"
"13262","конвейера","конвейер"
"13263","очная","очный"
"13264","допущено","допускать"
"13265","115",""
"13266","одобренных","одобрять"
"13267","зарегистрировалось","зарегистрироваться"
"13268","128",""
"13269","желающий","желающий"
"13270","собрание","собрание"
"13271","нюансах","нюанс"
"13272","критериям","критерий"
"13273","креативность","креативность"
"13274","профессиональность","профессиональность"
"13275","адресность","адресность"
"13276","тиражируемость","тиражируемость"
"13277","масштабность","масштабность"
"13278","публичность","публичность"
"13279","информирование","информирование"
"13280","возможностях","возможность"
"13281","саморазвития","саморазвитие"
"13282","тематикам","тематика"
"13283","карта","карта"
"13284","месседжеров","месседжер"
"13285","маленькую","маленький"
"13286","результативность","результативность"
"13287","брендированных","брендировать"
"13288","заспамленность","заспамленность"
"13289","уменьшение","уменьшение"
"13290","количества","количество"
"13291","контент","контент"
"13292","говоришь","говорить"
"13293","тратишь","тратить"
"13294","прочитал","прочитывать"
"13295","климата","климат"
"13296","козырь","козырь"
"13297","слабое","слабый"
"13298","ударить","ударять"
"13299","вызвать","вызывать"
"13300","формировали","формировать"
"13301","вкупе","вкупе"
"13302","аутентичность","аутентичность"
"13303","повышают","повышать"
"13304","этнокультуру","этнокультура"
"13305","создают","создавать"
"13306","моду","мода"
"13307","этническое","этнический"
"13308","преимуществом","преимущество"
"13309","оод","оод"
"13310","кантемиром","кантемир"
"13311","хуртаевым","хуртаевый"
"13312","практическим","практический"
"13313","заданием","задание"
"13314","продумать","продумывать"
"13315","привлечь","привлекать"
"13316","основание","основание"
"13317","восстанавливаемого","восстанавливать"
"13318","почитаемых","почитать"
"13319","святынь","святыня"
"13320","казанской","казанский"
"13321","чудесно","чудесно"
"13322","обретенной","обретать"
"13323","1579",""
"13324","чин","чин"
"13325","казанском","казанский"
"13326","богородицком","богородицкий"
"13327","радуюсь","радоваться"
"13328","участником","участник"
"13329","замечательно","замечательно"
"13330","бок","бок"
"13331","православные","православный"
"13332","воссоздания","воссоздание"
"13333","готовностью","готовность"
"13334","принадлежащие","принадлежать"
"13335","слушал","слушать"
"13336","капсулы","капсула"
"13337","строящегося","строиться"
"13338","смотрел","смотреть"
"13339","задался","задаваться"
"13340","земном","земной"
"13341","шаре","шар"
"13342","картину","картина"
"13343","проехал","проехать"
"13344","представляю","представлять"
"13345","неслучайно","неслучайно"
"13346","трудиться","трудиться"
"13347","господь","господь"
"13348","хранит","хранить"
"13349","великую","великий"
"13350","нарышкин","нарышкин"
"13351","бабич","бабич"
"13352","герасимов","герасимов"
"13353","ознакомились","ознакомляться"
"13354","132",""
"13355","управлении","управление"
"13356","михаила","михаил"
"13357","бабича","бабич"
"13358","рустама","рустам"
"13359","минниханова","минниханов"
"13360","минтимера","минтимер"
"13361","шаймиева","шаймиев"
"13362","семенова","семенов"
"13363","болгарская","болгарский"
"13364","академия","академия"
"13365","улемов","улем"
"13366","богословского","богословский"
"13367","исламская","исламский"
"13368","стандарта","стандарт"
"13369","академией","академия"
"13370","лавровым","лавровый"
"13371","открыла","открывать"
"13372","поговорил","поговорить"
"13373","влиянии","влияние"
"13374","любом","любой"
"13375","кризисе","кризис"
"13376","проиллюстрировал","проиллюстрировать"
"13377","столкновениями","столкновение"
"13378","явлением","явление"
"13379","мультикультурализма","мультикультурализм"
"13380","кризисом","кризис"
"13381","севере","север"
"13382","неграмотного","неграмотный"
"13383","непрофессионального","непрофессиональный"
"13384","объективного","объективный"
"13385","полицентричного","полицентричный"
"13386","стремлением","стремление"
"13387","запада","запад"
"13388","ценой","цена"
"13389","доминирующие","доминирующий"
"13390","мид","мид"
"13391","обошел","обходить"
"13392","допинговый","допинговый"
"13393","скандал","скандал"
"13394","нормальной","нормальный"
"13395","конкуренции","конкуренция"
"13396","недобросовестная","недобросовестный"
"13397","правоту","правота"
"13398","отстаиваем","отстаивать"
"13399","честно","честно"
"13400","жульничать","жульничать"
"13401","поразило","поражать"
"13402","занесена","занести"
"13403","олимпийскими","олимпийский"
"13404","идеалами","идеал"
"13405","понимают","понимать"
"13406","абсолютную","абсолютный"
"13407","искусственность","искусственность"
"13408","участника","участник"
"13409","олесова","олесов"
"13410","причинах","причина"
"13411","противоречий","противоречие"
"13412","единственную","единственный"
"13413","причину","причина"
"13414","невозможность","невозможность"
"13415","разному","разный"
"13416","восприимчив","восприимчивый"
"13417","общаетесь","общаться"
"13418","чувствуете","чувствовать"
"13419","взаимную","взаимный"
"13420","симпатию","симпатия"
"13421","наверно","наверно"
"13422","расставаться","расставаться"
"13423","интересовались","интересоваться"
"13424","перспективах","перспектива"
"13425","неонацизма","неонацизм"
"13426","неофашизма","неофашизм"
"13427","обострении","обострение"
"13428","дипломата","дипломат"
"13429","внешнюю","внешний"
"13430","кулуарно","кулуарно"
"13431","закрыто","закрытый"
"13432","добиваться","добиваться"
"13433","зарубежного","зарубежный"
"13434","дипломатами","дипломат"
"13435","сконцентрирована","сконцентрировать"
"13436","ощущаться","ощущаться"
"13437","указывая","указывать"
"13438","давление","давление"
"13439","спросил","спрашивать"
"13440","простить","прощать"
"13441","прощать","прощать"
"13442","раскаялись","раскаиваться"
"13443","напоминая","напоминать"
"13444","мировые","мировой"
"13445","учат","учить"
"13446","нравственность","нравственность"
"13447","внешней","внешний"
"13448","загоне","загон"
"13449","остервенелости","остервенелость"
"13450","состояться","состояться"
"13451","периоды","период"
"13452","войн","война"
"13453","катастроф","катастрофа"
"13454","катаклизмов","катаклизм"
"13455","профильным","профильный"
"13456","397",""
"13457","съехались","съезжаться"
"13458","китай","китай"
"13459","эквадор","эквадор"
"13460","мадагаскар","мадагаскар"
"13461","конго","конго"
"13462","красивые","красивый"
"13463","умные","умный"
"13464","неравнодушные","неравнодушный"
"13465","сцены","сцена"
"13466","объединяющие","объединять"
"13467","профессий","профессия"
"13468","личностному","личностный"
"13469","становлению","становление"
"13470","юношей","юноша"
"13471","девушек","девушка"
"13472","способностей","способность"
"13473","знакомиться","знакомиться"
"13474","новейшими","новый"
"13475","достижениями","достижение"
"13476","праздничным","праздничный"
"13477","концертом","концерт"
"13478","гимна","гимн"
"13479","интонация","интонация"
"13480","хедлайнера","хедлайнер"
"13481","музыканта","музыкант"
"13482","вахтанга","вахтанг"
"13483","успели","успевать"
"13484","презентовать","презентовать"
"13485","примеру","пример"
"13486","адам","адам"
"13487","алиев","алиев"
"13488","приезжающих","приезжать"
"13489","хаджимурад","хаджимурад"
"13490","моральное","моральный"
"13491","вечеров","вечер"
"13492","востьянова","востьянов"
"13493","приморского","приморский"
"13494","привезла","привозить"
"13495","славянский","славянский"
"13496","ветер","ветер"
"13497","предполагающего","предполагать"
"13498","платформы","платформа"
"13499","закрытия","закрытие"
"13500","идентичностей","идентичность"
"13501","взаимозависимости","взаимозависимость"
"13502","актива","актив"
"13503","включит","включать"
"13504","понятным","понятный"
"13505","осознания","осознание"
"13506","многонациональности","многонациональность"
"13507","страны.http","страна http?"
"13508","396",""
"13509","узбеков","узбек"
"13510","узбекистанцев","узбекистанец"
"13511","конгрессе","конгресс"
"13512","ненашев","ненашев"
"13513","общественники","общественник"
"13514","радикализму","радикализм"
"13515","азербайджанцев","азербайджанец"
"13516","мехрибан","мехрибан"
"13517","садыгова","садыгово"
"13518","обратила","обращать"
"13519","легкой","легкий"
"13520","мишенью","мишень"
"13521","невостребованными","невостребованный"
"13522","ненужными","ненужный"
"13523","выступавшие","выступать"
"13524","перечисленных","перечислять"
"13525","адаптационные","адаптационный"
"13526","ксац","ксац"
"13527","ориентированные","ориентированный"
"13528","докладчиков","докладчик"
"13529","согласуется","согласоваться"
"13530","ограждения","ограждение"
"13531","заключении","заключение"
"13532","ибрагим","ибрагим"
"13533","худайбердинов","худайбердин"
"13534","августе","август"
"13535","синода","синод"
"13536","отныне","отныне"
"13537","расширило","расширять"
"13538","договоренности","договоренность"
"13539","главами","глава"
"13540","доброжелательного","доброжелательный"
"13541","личностное","личностный"
"13542","махачкалинская","махачкалинский"
"13543","епархия","епархия"
"13544","муфтият","муфтият"
"13545","иудейских","иудейский"
"13546","лаборатория","лаборатория"
"13547","нбф","нбф?"
"13548","оператором","оператор"
"13549","авраамические","авраамический"
"13550","внешним","внешний"
"13551","связям","связь"
"13552","информационную","информационный"
"13553","обеспечат","обеспечивать"
"13554","светские","светский"
"13555","картине","картина"
"13556","инициировано","инициировать"
"13557","епархией","епархия"
"13558","поддержано","поддерживать"
"13559","берегу","берег"
"13560","каспийского","каспийский"
"13561","моря","море"
"13562","интеллектуальные","интеллектуальный"
"13563","завершена","завершать"
"13564","распределены","распределять"
"13565","распорядителей","распорядитель"
"13566","соответствующий","соответствующий"
"13567","распорядительный","распорядительный"
"13568","акт","акт"
"13569","типового","типовой"
"13570","адресам","адрес"
"13571","шанцев","шанцев"
"13572","нижнекамского","нижнекамский"
"13573","приглашению","приглашение"
"13574","оргкомитета","оргкомитет"
"13575","сабантуя","сабантуй"
"13576","нижний","нижний"
"13577","новгород","новгород"
"13578","сопредельных","сопредельный"
"13579","празднованиях","празднование"
"13580","участвовал","участвовать"
"13581","оринов","орин"
"13582","стадионе","стадион"
"13583","локомотив","локомотив"
"13584","зеленой","зеленый"
"13585","татарская","татарский"
"13586","устроено","устраивать"
"13587","угощение","угощение"
"13588","двухсоткилограммовым","двухсоткилограммовый"
"13589","чак","чак"
"13590","чаком","чак"
"13591","сот","сотня"
"13592","соревнованиями","соревнование"
"13593","состязаниями","состязание"
"13594","кореш","кореш"
"13595","яркого","яркий"
"13596","самобытного","самобытный"
"13597","завершения","завершение"
"13598","весенних","весенний"
"13599","полевых","полевой"
"13600","перешагнул","перешагивать"
"13601","гостеприимной","гостеприимный"
"13602","объединил","объединять"
"13603","сплоченность","сплоченность"
"13604","свидетельствует","свидетельствовать"
"13605","огромной","огромный"
"13606","подлинном","подлинный"
"13607","ежегодным","ежегодный"
"13608","весенне","весенний"
"13609","башкир","башкир"
"13610","наибольшим","большой"
"13611","количеством","количество"
"13612","xvi","xvi?"
"13613","нижегородская","нижегородский"
"13614","символа","символ"
"13615","тулпар","тулпар"
"13616","ат","ат"
"13617","следеющем","следеть"
"13618","столицей","столица"
"13619","североморске","североморск"
"13620","командующий","командующий"
"13621","северным","северный"
"13622","флотом","флот"
"13623","евменов","евменов"
"13624","ковтун","ковтун"
"13625","краеведческая","краеведческий"
"13626","ix","ix?"
"13627","феодоритовские","феодоритовский"
"13628","11.00",""
"13629","21.00",""
"13630","желающих","желающий"
"13631","открыта","открытый"
"13632","икон","икона"
"13633","стена","стена"
"13634","нерушимая","нерушимый"
"13635","молитв","молитва"
"13636","отечество","отечество"
"13637","святые","святой"
"13638","былинного","былинный"
"13639","ильи","илья"
"13640","муромца","муромец"
"13641","равноапостольного","равноапостольный"
"13642","спаса","спас"
"13643","водах","вода"
"13644","праведного","праведный"
"13645","адмирала","адмирал"
"13646","федора","федор"
"13647","ушакова","ушаков"
"13648","мощами","мощь"
"13649","передан","передавать"
"13650","городу","город"
"13651","североморску","североморск"
"13652","тувинской","тувинский"
"13653","животноводов","животновод"
"13654","наадым","наадый"
"13655","передал","передавать"
"13656","шолбану","шолбан"
"13657","кара","кара"
"13658","оолу","оол"
"13659","тывы","тыва"
"13660","радовались","радоваться"
"13661","успехам","успех"
"13662","трудную","трудный"
"13663","минуту","минута"
"13664","тувинцы","тувинец"
"13665","фашизмом","фашизм"
"13666","отважно","отважно"
"13667","сражались","сражаться"
"13668","боях","бой"
"13669","отдавали","отдавать"
"13670","фронту","фронт"
"13671","деятельно","деятельно"
"13672","восстановлении","восстановление"
"13673","хозяйства","хозяйство"
"13674","славные","славный"
"13675","сыны","сын"
"13676","дочери","дочь"
"13677","тувинского","тувинский"
"13678","основоположник","основоположник"
"13679","монгуш","монгуш"
"13680","буян","буян"
"13681","бадыргы","бадыргы?"
"13682","самобытные","самобытный"
"13683","музыканты","музыкант"
"13684","певцы","певец"
"13685","известным","известный"
"13686","земляком","земляк"
"13687","многолетним","многолетний"
"13688","кужугетовичем","кужугетович"
"13689","шойгу","шойгу"
"13690","перевал","перевал"
"13691","саян","саян"
"13692","взойдя","восходить"
"13693","мгле","мгла"
"13694","ночной","ночной"
"13695","увидел","увидеть"
"13696","венера","венера"
"13697","задумался","задумываться"
"13698","вершина","вершина"
"13699","понял","понимать"
"13700","выраженное","выражать"
"13701","строках","строка"
"13702","классика","классик"
"13703","монгуша","монгуш"
"13704","кенин","кенин"
"13705","лопсана","лопсан"
"13706","тыве","тыва"
"13707","путеводной","путеводный"
"13708","звездой","звезда"
"13709","ведущей","вести"
"13710","вершинам","вершина"
"13711","камбы","камба"
"13712","ламой","лама"
"13713","лопсаном","лопсан"
"13714","гьятсо","гьятсо"
"13715","епископом","епископ"
"13716","кызыльским","кызыльский"
"13717","тувинским","тувинский"
"13718","феофаном","феофан"
"13719","тнр","тнр?"
"13720","алдан","алдан"
"13721","маадыра","маадыр"
"13722","архитектурно","архитектурный"
"13723","скульптурный","скульптурный"
"13724","промыслами","промысел"
"13725","шолбан","шолбан"
"13726","оол","оол"
"13727","настроен","настраивать"
"13728","откликнулся","откликаться"
"13729","приглашение","приглашение"
"13730","туву","тува"
"13731","наадыма","наадым"
"13732","делегировал","делегировать"
"13733","владимировича","владимирович"
"13734","встретились","встречаться"
"13735","юрточном","юрточный"
"13736","городке","городок"
"13737","тос","тос"
"13738","булаке","булак"
"13739","убедился","убеждаться"
"13740","дружелюбии","дружелюбие"
"13741","человечности","человечность"
"13742","моего","мой"
"13743","туве","тува"
"13744","закреплении","закрепление"
"13745","выполнению","выполнение"
"13746","реализуемой","реализовать"
"13747","выделило","выделять"
"13748","субсидию","субсидия"
"13749","998",""
"13750","ипатова","ипатов"
"13751","флота","флот"
"13752","североморск","североморск"
"13753","занимал","занимать"
"13754","стратегический","стратегический"
"13755","форпост","форпост"
"13756","надежно","надежно"
"13757","прикрывает","прикрывать"
"13758","морские","морской"
"13759","крупная","крупный"
"13760","морская","морской"
"13761","преобразован","преобразовывать"
"13762","городское","городской"
"13763","включением","включение"
"13764","поселков","поселок"
"13765","сафоново","сафоново"
"13766","росляково","росляково"
"13767","щукозеро","щукозеро"
"13768","способствование","способствование"
"13769","просвещению","просвещение"
"13770","возвращению","возвращение"
"13771","гарнизонов","гарнизон"
"13772","благотворительный","благотворительный"
"13773","воина","воин"
"13774","феодора","феодора"
"13775","древнего","древний"
"13776","изготовления","изготовление"
"13777","шитых","шитый"
"13778","утрачено","утрачивать"
"13779","церковного","церковный"
"13780","стеклянной","стеклянный"
"13781","мозаики","мозаика"
"13782","шитые","шитый"
"13783","сложнейшей","сложный"
"13784","техникой","техника"
"13785","иглой","игла"
"13786","изготовлены","изготавливать"
"13787","натуральных","натуральный"
"13788","православными","православный"
"13789","канонами","канон"
"13790","иконописи","иконопись"
"13791","исключительностью","исключительность"
"13792","прославления","прославление"
"13793","лике","лик"
"13794","святых","святой"
"13795","преумножение","преумножение"
"13796","этнографическом","этнографический"
"13797","диалоге","диалог"
"13798","строиться","строиться"
"13799","креативных","креативный"
"13800","этноиндустрий","этноиндустрия"
"13801","фандрайзингу","фандрайзинг"
"13802","искусству","искусство"
"13803","приветствуется","приветствоваться"
"13804","собственного","собственный"
"13805","почту","почта"
"13806","info","info?"
"13807","ethnoworld.ru","ethnoworld? ru?"
"13808","форму","форма"
"13809","генассамблеей","генассамблея"
"13810","1994",""
"13811","андийцы","андиец"
"13812","бесермяне","бесермянин"
"13813","кеты","кета"
"13814","негидальцы","негидалец"
"13815","рутульцы","рутулец"
"13816","сойоты","сойот"
"13817","тофалары","тофалар"
"13818","ульчи","ульча"
"13819","хемшилы","хемшила"
"13820","энцы","энца"
"13821","населяющие","населять"
"13822","исчезающие","исчезать"
"13823","загадочные","загадочный"
"13824","термин","термин"
"13825","этносов","этнос"
"13826","численностью","численность"
"13827","ненцы","ненец"
"13828","кереки","керек"
"13829","четверо","четверо"
"13830","раза","раз"
"13831","ороков","орок"
"13832","ульта","ульт"
"13833","ненцев","ненец"
"13834","селькупов","селькуп"
"13835","хантов","хант"
"13836","юкагиров","юкагир"
"13837","негидальцев","негидальцев"
"13838","тофаларов","тофаларов"
"13839","ительменов","ительмен"
"13840","возникли","возникать"
"13841","профсоюзы","профсоюз"
"13842","воссозданы","воссоздавать"
"13843","родовые","родовой"
"13844","угодья","угодье"
"13845","тенденциям","тенденция"
"13846","упрощенную","упрощенный"
"13847","налогообложения","налогообложение"
"13848","создавшим","создавать"
"13849","организационный","организационный"
"13850","реализован","реализовать"
"13851","проживая","проживать"
"13852","языки","язык"
"13853","делая","делать"
"13854","многогранным","многогранный"
"13855","неповторимым","неповторимый"
"13856","жили","жить"
"13857","агентств","агентство"
"13858","справились","справляться"
"13859","мешать","мешать"
"13860","царские","царский"
"13861","народностям","народность"
"13862","окраин","окраина"
"13863","госкомсевер","госкомсевер"
"13864","вспышка","вспышка"
"13865","сибирской","сибирский"
"13866","язвы","язва"
"13867","ямале","ямал"
"13868","яркое","яркий"
"13869","потери","потеря"
"13870","вмешивается","вмешиваться"
"13871","доступными","доступный"
"13872","цивилизации","цивилизация"
"13873","телекоммуникации","телекоммуникация"
"13874","медицинское","медицинский"
"13875","обслуживание","обслуживание"
"13876","качественное","качественный"
"13877","сохраняя","сохранять"
"13878","ногу","нога"
"13879","тщательнее","тщательный"
"13880","пересчитали","пересчитывать"
"13881","рождаемости","рождаемость"
"13882","всероссийскими","всероссийский"
"13883","переписями","перепись"
"13884","9,5",""
"13885","абазины","абазин"
"13886","долганы","долган"
"13887","ительмены","ительмен"
"13888","манси","манси"
"13889","сету","сет"
"13890","демографы","демограф"
"13891","предыдущую","предыдущий"
"13892","перепись","перепись"
"13893","позитивные","позитивный"
"13894","стимулировали","стимулировать"
"13895","перемену","перемена"
"13896","вернулась","вернуться"
"13897","привязано","привязывать"
"13898","январе","январь"
"13899","заявило","заявлять"
"13900","поправок","поправка"
"13901","гарантиях","гарантия"
"13902","предполагающих","предполагать"
"13903","составление","составление"
"13904","изменить","изменять"
"13905","подтверждения","подтверждение"
"13906","гарантий","гарантия"
"13907","квот","квота"
"13908","прозрачной","прозрачный"
"13909","подтверждающим","подтверждать"
"13910","поддерживает","поддерживать"
"13911","ттп","ттп?"
"13912","поддерживают","поддерживать"
"13913","дается","даваться"
"13914","хозяйственную","хозяйственный"
"13915","упорядочить","упорядочивать"
